IdSon,Description,sonid,AustenderCategory,Status,internalcomment,ContractProcessingCategory,ContractProcessingSubCategory,IdCat,Title
1,"Under the Australian Government Telecommunications Arrangements (AGTA), a provider of telecommunications carriage services (as defined in the Telecommunications Act 1997 ) must sign an AGTA Head Agreement with the Commonwealth (containing standard terms and conditions) before they can provide such services to FMA Act agencies and certain CAC Act agencies. Also, it is preferred that a provider of other telecommunications related goods and services to such agencies do so in accordance with an AGTA Head Agreement between the provider and the Commonwealth. Further information on AGTA is available at: http://www.finance.gov.au/procurement/ict-procurement/australian-government-telecommunications-arrangement/index.html or by contacting Director, Telecommunications Team, Australian Government Information Management Office, Department of Finance and Deregulation by telephone (02 6215 1535) or by email ictprocurement@finance.gov.au Note: the end date is not 2050 but has been supplied for the purposes of listing an end date on AusTender. This is an ongoing arrangement. For further information on the way the AGTA works please contact ictprocurement@finance.gov.au",SON88680,Components for information technology or broadcasting or telecommunications,Active,,Telecommunications,Uncategorised,40,
2,Provision of Data Storage Backup and Recovery Infrastructure,SON191674,Data Voice or Multimedia Network Equipment or Platforms and Accessories,Active,,Hardware,Storage,9,
3,Hyper Text Mark-up Language (HTML) Conversion Services Panel,SON297971,Software maintenance and support,Active,,ICT,Uncategorised,17,
4,Head agreement for the provision of Microsoft Software and related support services,SON176030,Software,Active,,ICT,Uncategorised,27,
5,Head Agreement for the provision of Microsoft Software and related support services,SON176460,Software,Active,,Software,Microsoft,27,
6,Head Agreement of Microsoft Software of the Whole of Government (Volume Sourcing Agreement),SON186756,Software,Active,,Software,Microsoft,27,
7,IBM Head Agreement,SON200019,Software,Active,,ICT,Uncategorised,28,
8,ICT Professionals Panel,SON299780,Temporary personnel services,Active,This panel remains active despite advice from Finance that it is not an ICT panel because it is an ICT Labour Hire Panel,Labour Hire,ICT Labour Hire,13,
9,Recruitment and Scribing Services,SON287528,Personnel recruitment,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
10,Work Management Solution,SON310369,Software,Active,,ICT,Uncategorised,17,
11,IBM Enterprise Licence Agreement,SON310476,Software maintenance and support,Active,,ICT,Uncategorised,15,
12,Panel for provision of capacity building services in support of the AFP's police capacity building programs - Advisory services,SON310302,Project management,Inactive,Date changed from 31 May 2014 to 31 May 2015,Uncategorised,Uncategorised,11,
13,Panel for provision of capacity building services in support of the AFP's police capacity building programs - Learning and development services,SON310310,Project management,Inactive,Date changed from 31 May 2014 to 31 May 2015,Uncategorised,Uncategorised,11,
14,Services and Support for Manpower Analysis and Planning Systems (MAPS) Software,SON190876,Software,Active,Date changed from 06 May 2013 to 06 May 2015,ICT,Uncategorised,18,
